date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:35:15	12816/12816	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Jul%202022%2010:28:37%20GMT	https://template.annimexweb.com/optimal/assets/images/megamenu/megamenu-banner4-4.jpg	D:/project/ecommerce/template.annimexweb.com/optimal/assets/images/megamenu/megamenu-banner4-4.jpg	(from https://template.annimexweb.com/optimal/)
06:35:15	218388/218388	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:43%20GMT	https://template.annimexweb.com/optimal/product-standard.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-standard.html	(from https://template.annimexweb.com/optimal/)
06:35:16	223308/223308	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:46%20GMT	https://template.annimexweb.com/optimal/product-variable.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-variable.html	(from https://template.annimexweb.com/optimal/)
06:35:16	221516/221516	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:31%20GMT	https://template.annimexweb.com/optimal/product-grouped.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-grouped.html	(from https://template.annimexweb.com/optimal/)
06:35:16	220767/220767	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:31%20GMT	https://template.annimexweb.com/optimal/product-external-affiliate.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-external-affiliate.html	(from https://template.annimexweb.com/optimal/)
06:35:17	220278/220278	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:41%20GMT	https://template.annimexweb.com/optimal/product-outofstock.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-outofstock.html	(from https://template.annimexweb.com/optimal/)
06:35:17	223016/223016	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:34%20GMT	https://template.annimexweb.com/optimal/product-layout1.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-layout1.html	(from https://template.annimexweb.com/optimal/)
06:35:17	222408/222408	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:34%20GMT	https://template.annimexweb.com/optimal/product-layout2.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-layout2.html	(from https://template.annimexweb.com/optimal/)
06:35:17	226877/226877	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:29%20GMT	https://template.annimexweb.com/optimal/product-accordian.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-accordian.html	(from https://template.annimexweb.com/optimal/)
06:35:18	225634/225634	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:29%20GMT	https://template.annimexweb.com/optimal/prodcut-360-degree-view.html	D:/project/ecommerce/template.annimexweb.com/optimal/prodcut-360-degree-view.html	(from https://template.annimexweb.com/optimal/)
06:35:18	225968/225968	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:36%20GMT	https://template.annimexweb.com/optimal/product-layout3.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-layout3.html	(from https://template.annimexweb.com/optimal/)
06:35:18	222860/222860	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:36%20GMT	https://template.annimexweb.com/optimal/product-layout4.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-layout4.html	(from https://template.annimexweb.com/optimal/)
06:35:19	225574/225574	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:38%20GMT	https://template.annimexweb.com/optimal/product-layout5.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-layout5.html	(from https://template.annimexweb.com/optimal/)
06:35:19	231008/231008	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:39%20GMT	https://template.annimexweb.com/optimal/product-layout6.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-layout6.html	(from https://template.annimexweb.com/optimal/)
06:35:19	191000/191000	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:41%20GMT	https://template.annimexweb.com/optimal/product-layout7.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-layout7.html	(from https://template.annimexweb.com/optimal/)
06:35:19	224444/224444	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:46%20GMT	https://template.annimexweb.com/optimal/product-tabs-left.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-tabs-left.html	(from https://template.annimexweb.com/optimal/)
06:35:20	223417/223417	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:21:44%20GMT	https://template.annimexweb.com/optimal/product-tabs-center.html	D:/project/ecommerce/template.annimexweb.com/optimal/product-tabs-center.html	(from https://template.annimexweb.com/optimal/)
06:35:20	100640/100640	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:20:06%20GMT	https://template.annimexweb.com/optimal/brands-style2.html	D:/project/ecommerce/template.annimexweb.com/optimal/brands-style2.html	(from https://template.annimexweb.com/optimal/)
06:35:20	3065/3065	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2010:27:50%20GMT	https://template.annimexweb.com/optimal/assets/images/logo/brandlogo1.png	D:/project/ecommerce/template.annimexweb.com/optimal/assets/images/logo/brandlogo1.png	(from https://template.annimexweb.com/optimal/)
06:35:21	2950/2950	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2010:27:50%20GMT	https://template.annimexweb.com/optimal/assets/images/logo/brandlogo2.png	D:/project/ecommerce/template.annimexweb.com/optimal/assets/images/logo/brandlogo2.png	(from https://template.annimexweb.com/optimal/)
06:35:21	2828/2828	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2010:27:51%20GMT	https://template.annimexweb.com/optimal/assets/images/logo/brandlogo3.png	D:/project/ecommerce/template.annimexweb.com/optimal/assets/images/logo/brandlogo3.png	(from https://template.annimexweb.com/optimal/)
06:35:21	3124/3124	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2010:27:51%20GMT	https://template.annimexweb.com/optimal/assets/images/logo/brandlogo4.png	D:/project/ecommerce/template.annimexweb.com/optimal/assets/images/logo/brandlogo4.png	(from https://template.annimexweb.com/optimal/)
06:35:21	2474/2474	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2010:27:52%20GMT	https://template.annimexweb.com/optimal/assets/images/logo/brandlogo5.png	D:/project/ecommerce/template.annimexweb.com/optimal/assets/images/logo/brandlogo5.png	(from https://template.annimexweb.com/optimal/)
06:35:22	2338/2338	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202022%2010:27:52%20GMT	https://template.annimexweb.com/optimal/assets/images/logo/brandlogo6.png	D:/project/ecommerce/template.annimexweb.com/optimal/assets/images/logo/brandlogo6.png	(from https://template.annimexweb.com/optimal/)
06:35:22	13098/13098	---M--	200	added ('OK')	image/jpeg	date:Sat,%2009%20Jul%202022%2010:28:34%20GMT	https://template.annimexweb.com/optimal/assets/images/megamenu/megamenu-banner3.jpg	D:/project/ecommerce/template.annimexweb.com/optimal/assets/images/megamenu/megamenu-banner3.jpg	(from https://template.annimexweb.com/optimal/)
06:35:22	107739/107739	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:07%20GMT	https://template.annimexweb.com/optimal/vendor-dashboard.html	D:/project/ecommerce/template.annimexweb.com/optimal/vendor-dashboard.html	(from https://template.annimexweb.com/optimal/)
06:35:23	364962/364962	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:09%20GMT	https://template.annimexweb.com/optimal/vendor-profile.html	D:/project/ecommerce/template.annimexweb.com/optimal/vendor-profile.html	(from https://template.annimexweb.com/optimal/)
06:35:23	107661/107661	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:13%20GMT	https://template.annimexweb.com/optimal/vendor-uploads.html	D:/project/ecommerce/template.annimexweb.com/optimal/vendor-uploads.html	(from https://template.annimexweb.com/optimal/)
06:35:23	100257/100257	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:11%20GMT	https://template.annimexweb.com/optimal/vendor-tracking.html	D:/project/ecommerce/template.annimexweb.com/optimal/vendor-tracking.html	(from https://template.annimexweb.com/optimal/)
06:35:23	101312/101312	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2010:22:09%20GMT	https://template.annimexweb.com/optimal/vendor-service.html	D:/project/ecommerce/template.annimexweb.com/optimal/vendor-service.html	(from https://template.annimexweb.com/optimal/)
